animal_id,animal_name,animal_category,url
68,cheetah,Wild Animal,https://png.pngtree.com/png-vector/20230930/ourmid/pngtree-cheetah-png-with-ai-generated-png-image_10153570.png
69,bear,Wild Animal,https://png.pngtree.com/png-vector/20230318/ourmid/pngtree-brown-bear-animal-transparent-on-white-png-image_6655701.png
70,kangaroo,Wild Animal,https://png.pngtree.com/element_our/20240626/1fa6aa8f4b6b9af36e63cf084efdfa06.png
71,rhino,Wild Animal,https://png.pngtree.com/png-vector/20240129/ourmid/pngtree-rhino-png-with-ai-generated-png-image_11564515.png
72,fox,Wild Animal,https://static.vecteezy.com/system/resources/previews/049/159/615/non_2x/happy-face-fox-3d-cartoon-picture-png.png
73,deer,Wild Animal,https://png.pngtree.com/png-vector/20230903/ourmid/pngtree-baby-deer-isolated-png-image_9957461.png
74,raccoon,Wild Animal,https://static.vecteezy.com/system/resources/previews/041/713/515/non_2x/ai-generated-inquisitive-raccoon-with-a-curious-gaze-on-transparent-background-stock-png.png
75,Gorilla,Wild Animal,https://png.pngtree.com/png-vector/20240205/ourmid/pngtree-powerful-gorilla-png-image-png-image_11620407.png
76,jackal,Wild Animal,https://png.pngtree.com/png-clipart/20231005/original/pngtree-indian-jackal-transparent-background-png-image_13279305.png
77,hyena,Wild Animal,https://png.pngtree.com/png-clipart/20220707/ourmid/pngtree-affrican-spotted-hyena-transparent-png-picture-png-image_5732585.png
78,moose,Wild Animal,https://png.pngtree.com/png-clipart/20241112/original/pngtree-moose-clipart-realistic-animal-illustration-for-projects-png-image_16959420.png
79,sloth,Wild Animal,https://png.pngtree.com/png-vector/20240129/ourmid/pngtree-cute-brown-sloth-png-image_11566692.png
80,wildboar,Wild Animal,https://png.pngtree.com/png-vector/20240817/ourmid/pngtree-wild-boar-clipart-illustration-isolated-transparent-background-png-image_13512387.png
81,leopard,Jungle Animal,https://img.freepik.com/premium-vector/cartoon-leopard-walking_43633-3051.jpg?semt=ais_hybrid
82,monkey,Jungle Animal,https://png.pngtree.com/png-clipart/20231003/original/pngtree-monkey-png-with-ai-generated-png-image_13246177.png
83,anaconda,Jungle Animal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHinpiyAR34mrVYB5jgo9jf-mfdsj1l7cVyg&s
84,chimpanzee,Jungle Animal,https://png.pngtree.com/png-vector/20210415/ourmid/pngtree-smart-smart-chimpanzee-png-image_3217150.jpg
85,macaque,Jungle Animal,https://png.pngtree.com/png-clipart/20230311/original/pngtree-wildlife-monkey-macaque-png-image_8982085.png
86,hippo,Jungle Animal,https://i.pinimg.com/474x/66/1a/0f/661a0f991c1f3c965c2495587aef9ddc.jpg
87,jaguar,Jungle Animal,https://cdn.britannica.com/45/156545-004-29900FF0.jpg
88,otter,Jungle Animal,https://cdn.britannica.com/96/255796-049-61998168.jpg
89,squirrel,Jungle Animal,https://png.pngtree.com/png-vector/20240829/ourmid/pngtree-squirrel-cartoon-wild-animals-for-childrens-illustrations-ai-generated-png-image_13668552.png
90,panda,Jungle Animal,https://png.pngtree.com/png-clipart/20231109/original/pngtree-cute-panda-cartoon-illustration-for-kids-png-image_13522727.png
